,doc1,feq_doc1,doc2,feq_doc2,doc3,feq_doc3,doc4,feq_doc4,doc5,feq_doc5,doc6,feq_doc6,doc7,feq_doc7,doc8,feq_doc8,doc9,feq_doc9,doc10,feq_doc10,doc11,feq_doc11,doc12,feq_doc12,doc13,feq_doc13,doc14,feq_doc14,doc15,feq_doc15,doc16,feq_doc16,doc17,feq_doc17,doc18,feq_doc18,doc19,feq_doc19,doc20,feq_doc20
343,cowrieshell,2.0,discuss,1.0,-,-,was,2.0,you,3.0,height,4.0,days,2.0,detailed,3.0,-,-,-,-,-,-,christelijke,1.0,-,-,16191,1.0,determine,3.0,amanda,1.0,20112012,1.0,-,-,day,6,now,6.0
344,strong,2.0,talk,1.0,-,-,phage,2.0,approximately,3.0,almost,4.0,22,2.0,propulsion,3.0,-,-,-,-,-,-,volkspartijparti,1.0,-,-,10dec55,1.0,impaired,3.0,local,1.0,helping,1.0,-,-,members,6,give,6.0
345,medium,2.0,page,1.0,-,-,t4,2.0,socalled,3.0,unlike,4.0,submission,2.0,include,3.0,-,-,-,-,-,-,1945,1.0,-,-,26241,1.0,professionals,3.0,businessman,1.0,win,1.0,-,-,since,6,better,6.0
346,properties,2.0,learn,1.0,-,-,17,2.0,smaller,3.0,causing,4.0,20,2.0,consistent,3.0,-,-,-,-,-,-,routledge,1.0,-,-,17dec55,1.0,helpful,3.0,pioneer,1.0,dandengong,1.0,-,-,d,6,criticized,6.0
347,certain,2.0,how,1.0,-,-,like,2.0,heavy,3.0,adaptation,4.0,bias,2.0,rather,3.0,-,-,-,-,-,-,59–73,1.0,-,-,5–2,1.0,complications,3.0,benjamin,1.0,resigned,1.0,-,-,common,6,human,6.0
348,plants,2.0,remove,1.0,-,-,role,2.0,big,3.0,likely,4.0,21,2.0,indicated,3.0,-,-,-,-,-,-,0714656623,1.0,-,-,29248,1.0,oxygen,3.0,they,1.0,20122013,1.0,-,-,using,6,evidence,6.0
349,causing,2.0,template,1.0,-,-,initiators,2.0,sale,3.0,loss,4.0,two,2.0,69,3.0,-,-,-,-,-,-,-,-,-,-,24dec55,1.0,necessary,3.0,bessie,1.0,france,1.0,-,-,essays,6,workers,6.0
350,19,2.0,messages,1.0,-,-,prereplication,2.0,normal,3.0,directly,4.0,name,2.0,analysis,3.0,-,-,-,-,-,-,-,-,-,-,19537,1.0,prevent,3.0,1877–1940,1.0,20082009,1.0,-,-,social,6,demonstrators,6.0
351,deal,2.0,needs,1.0,-,-,initiated,2.0,hippodrom,3.0,feet,4.0,second,2.0,supported,3.0,-,-,-,-,-,-,-,-,-,-,26dec55,1.0,carrying,3.0,june,1.0,pays,1.0,-,-,visited,6,though,6.0
352,jose,2.0,additional,1.0,-,-,targeted,2.0,pm,3.0,making,4.0,decision,2.0,conducted,3.0,-,-,-,-,-,-,-,-,-,-,2–2,1.0,mental,3.0,opened,1.0,dartois,1.0,-,-,influence,6,sncc,6.0
353,medicine,2.0,citations,1.0,-,-,recognition,2.0,ministerpresident,3.0,paw,4.0,so,2.0,seoul,3.0,-,-,-,-,-,-,-,-,-,-,77,1.0,origins,3.0,resorts,1.0,basket,1.0,-,-,little,6,august,6.0
354,prescribed,2.0,verification,1.0,-,-,rich,2.0,parades,3.0,move,4.0,25,2.0,findings,3.0,-,-,-,-,-,-,-,-,-,-,49604,1.0,p,3.0,featured,1.0,féminin,1.0,-,-,soon,6,place,6.0
355,scopolamine,2.0,2009,1.0,-,-,formed,2.0,clubs,3.0,before,4.0,put,2.0,panel,3.0,-,-,-,-,-,-,-,-,-,-,27dec55,1.0,2009,3.0,multiroom,1.0,fédération,1.0,-,-,portrait,6,then,6.0
356,atropine,2.0,require,1.0,-,-,separate,2.0,am,3.0,position,4.0,coercive,2.0,his,3.0,-,-,-,-,-,-,-,-,-,-,2–3,1.0,journal,3.0,suites,1.0,française,1.0,-,-,she,6,today,6.0
357,possession,2.0,cleanup,1.0,-,-,been,2.0,considered,3.0,allows,4.0,performance,2.0,saying,3.0,-,-,-,-,-,-,-,-,-,-,50,1.0,image,3.0,common,1.0,de,1.0,-,-,return,6,able,6.0
358,aside,2.0,meet,1.0,-,-,systems,2.0,emergency,3.0,does,4.0,power,2.0,russia,3.0,-,-,-,-,-,-,-,-,-,-,29133,1.0,rotatable,3.0,dining,1.0,american,1.0,-,-,1774,6,little,6.0
359,being,2.0,quality,1.0,-,-,before,2.0,100,3.0,vary,4.0,directly,2.0,quoted,3.0,-,-,-,-,-,-,-,-,-,-,31dec55,1.0,version,3.0,room,1.0,20112013,1.0,-,-,government,6,major,6.0
360,50,2.0,standards,1.0,-,-,distinct,2.0,per,3.0,throughout,4.0,south,2.0,hankyoreh,3.0,-,-,-,-,-,-,-,-,-,-,48071,1.0,photo,3.0,music,1.0,seasons,1.0,-,-,different,6,wrote,6.0
361,because,2.0,2008,1.0,-,-,recognized,2.0,fire,3.0,day,4.0,wales,2.0,results,3.0,-,-,-,-,-,-,-,-,-,-,21jan56,1.0,sketch,3.0,hall,1.0,being,1.0,-,-,electric,6,two,6.0
362,just,2.0,depiction,1.0,-,-,phages,2.0,court,3.0,urine,4.0,discretion,2.0,talks,3.0,-,-,-,-,-,-,-,-,-,-,39917,1.0,2003,3.0,verandas,1.0,traded,1.0,-,-,you,6,get,6.0
363,bad,2.0,equinox,1.0,-,-,3′,2.0,women,3.0,needed,4.0,rules,2.0,rising,3.0,-,-,-,-,-,-,-,-,-,-,04feb56,1.0,hospital,3.0,opening,1.0,2014,1.0,-,-,led,6,sermon,6.0
364,believed,2.0,mean,1.0,-,-,reverse,2.0,gay,3.0,acids,4.0,adverse,2.0,oxide,3.0,-,-,-,-,-,-,-,-,-,-,11000,1.0,prevention,3.0,celebrated,1.0,file,1.0,-,-,fellow,6,investigation,6.0
365,spiritism,2.0,largescale,1.0,-,-,side,2.0,organized,3.0,products,4.0,affected,2.0,rebuttal,3.0,-,-,-,-,-,-,-,-,-,-,11feb56,1.0,profound,2.0,gala,1.0,ogv,1.0,-,-,science,6,garrow,6.0
366,improve,2.0,together,1.0,-,-,terminal,2.0,article,3.0,back,4.0,crossexamination,2.0,those,3.0,-,-,-,-,-,-,-,-,-,-,0–4,1.0,rather,2.0,leaders,1.0,what,1.0,-,-,ship,6,influenced,6.0
367,consulting,2.0,redistributed,1.0,-,-,stranded,2.0,who,3.0,rather,4.0,reasonable,2.0,paper,3.0,-,-,-,-,-,-,-,-,-,-,10250,1.0,critical,2.0,elites,1.0,prepare,1.0,-,-,gulf,6,levison,6.0
368,15,2.0,varies,1.0,-,-,rcr,2.0,groups,3.0,response,4.0,reasonably,2.0,seismic,3.0,-,-,-,-,-,-,-,-,-,-,25feb56,1.0,further,2.0,specially,1.0,summer,1.0,-,-,stream,6,affairs,6.0
369,do,2.0,structure,1.0,-,-,creates,2.0,concept,3.0,due,4.0,efficient,2.0,administration,3.0,-,-,-,-,-,-,-,-,-,-,18800,1.0,national,2.0,arranged,1.0,weeklong,1.0,-,-,times,6,here,5.0
370,hand,2.0,remains,1.0,-,-,receives,2.0,these,3.0,important,4.0,disputes,2.0,rule,3.0,-,-,-,-,-,-,-,-,-,-,29feb56,1.0,tests,2.0,guests,1.0,canberra,1.0,-,-,said,6,conference,5.0
371,principles,2.0,fairly,1.0,-,-,continuously,2.0,able,3.0,make,4.0,promote,2.0,dmz,3.0,-,-,-,-,-,-,-,-,-,-,03mar56,1.0,saying,2.0,night,1.0,late,1.0,-,-,held,6,born,5.0
372,uses,2.0,smaller,1.0,-,-,extended,2.0,11,3.0,sensitive,4.0,appeal,2.0,funeral,3.0,-,-,-,-,-,-,-,-,-,-,4–2,1.0,twice,2.0,festivities,1.0,april,1.0,-,-,half,6,michael,5.0
373,even,2.0,depressions,1.0,-,-,fill,2.0,did,3.0,help,4.0,fca,2.0,jongil,3.0,-,-,-,-,-,-,-,-,-,-,35535,1.0,reality,2.0,ran,1.0,debut,1.0,-,-,de,6,died,5.0
374,aware,2.0,tropical,1.0,-,-,significantly,2.0,200th,3.0,90,4.0,45,2.0,myungbak,3.0,-,-,-,-,-,-,-,-,-,-,10mar56,1.0,although,2.0,plot,1.0,until,1.0,-,-,club,6,tennessee,5.0
375,help,2.0,occur,1.0,-,-,catalytic,2.0,opening,3.0,billion,4.0,september,2.0,weapons,3.0,-,-,-,-,-,-,-,-,-,-,5–0,1.0,consumption,2.0,placed,1.0,2009,1.0,-,-,friends,6,williams,5.0
376,diseases,2.0,randomly,1.0,-,-,toprim,2.0,usual,3.0,caused,4.0,towards,2.0,regarding,3.0,-,-,-,-,-,-,-,-,-,-,13678,1.0,herself,2.0,trust,1.0,squad,1.0,-,-,treaty,6,crozer,5.0
377,physicians,2.0,predictions,1.0,-,-,type,2.0,brewed,3.0,taste,4.0,them,2.0,action,3.0,-,-,-,-,-,-,-,-,-,-,17mar56,1.0,growing,2.0,financier,1.0,mid2010,1.0,-,-,itself,6,activist,5.0
378,herbal,2.0,made,1.0,-,-,similar,2.0,site,3.0,possibly,4.0,given,2.0,radio,3.0,-,-,-,-,-,-,-,-,-,-,59,1.0,over,2.0,philo,1.0,tour,1.0,-,-,washington,6,presidential,5.0
379,sacrifices,2.0,beyond,1.0,-,-,remaining,2.0,lord,3.0,damage,4.0,contention,2.0,central,3.0,-,-,-,-,-,-,-,-,-,-,48217,1.0,become,2.0,1875,1.0,china,1.0,-,-,whitefield,6,speeches,5.0
380,thus,2.0,ten,1.0,-,-,exonuclease,2.0,animal,3.0,point,4.0,conclusions,2.0,agency,3.0,-,-,-,-,-,-,-,-,-,-,24mar56,1.0,least,2.0,fallen,1.0,usa,1.0,-,-,busy,5,helped,5.0
381,without,2.0,practice,1.0,-,-,uses,2.0,among,3.0,fall,4.0,million,2.0,kcna,3.0,-,-,-,-,-,-,-,-,-,-,14000,1.0,therefore,2.0,joined,1.0,hungary,1.0,-,-,body,5,organize,5.0
382,include,2.0,chaos,1.0,-,-,function,2.0,seats,3.0,cancer,4.0,cabinet,2.0,ties,3.0,-,-,-,-,-,-,-,-,-,-,30mar56,1.0,often,2.0,robert,1.0,senior,1.0,-,-,18,5,october,5.0
383,sometimes,2.0,butterfly,1.0,-,-,regions,2.0,electrical,3.0,parasites,4.0,history,2.0,senior,3.0,-,-,-,-,-,-,-,-,-,-,0–1,1.0,hand,2.0,advanced,1.0,competed,1.0,-,-,november,5,took,5.0
384,patakí,2.0,illumination,1.0,-,-,very,2.0,six,3.0,disease,4.0,senators,2.0,board,3.0,-,-,-,-,-,-,-,-,-,-,15000,1.0,insufficient,2.0,money,1.0,czech,1.0,-,-,5,5,north,5.0
385,number,2.0,laws,1.0,-,-,ε,2.0,half,3.0,addition,4.0,oyal,1.0,accused,3.0,-,-,-,-,-,-,-,-,-,-,31mar56,1.0,maintaining,2.0,managing,1.0,republic,1.0,-,-,preceded,5,work,5.0
386,108,2.0,thermodynamics,1.0,-,-,δ,2.0,required,3.0,litter,4.0,informally,1.0,puppet,3.0,-,-,-,-,-,-,-,-,-,-,46713,1.0,cardiovascular,2.0,seeing,1.0,25,1.0,-,-,september,5,mall,5.0
387,problems,2.0,viewed,1.0,-,-,removal,2.0,entrances,3.0,times,4.0,misconduct,1.0,northsouth,3.0,-,-,-,-,-,-,-,-,-,-,02apr56,1.0,ideal,2.0,fair,1.0,july,1.0,-,-,26,5,education,5.0
388,client,2.0,standpoint,1.0,-,-,completed,2.0,team,3.0,hours,4.0,followed,1.0,personnel,2.0,-,-,-,-,-,-,-,-,-,-,49659,1.0,11,2.0,price,1.0,because,1.0,-,-,1,5,doctoral,5.0
389,parallel,2.0,ultimately,1.0,-,-,prongs,2.0,brewery,3.0,short,4.0,unsuccessful,1.0,yellow,2.0,-,-,-,-,-,-,-,-,-,-,07apr56,1.0,historical,2.0,declared,1.0,commitments,1.0,-,-,leading,5,studies,5.0
390,might,2.0,blackness,1.0,-,-,circular,2.0,strokes,3.0,periods,4.0,regulation,1.0,killing,2.0,-,-,-,-,-,-,-,-,-,-,72,1.0,22,2.0,1877,1.0,26,1.0,-,-,freemason,5,aftermath,5.0
391,practiced,2.0,produced,1.0,-,-,theta,2.0,known,3.0,where,4.0,commenced,1.0,points,2.0,-,-,-,-,-,-,-,-,-,-,15750,1.0,31,2.0,token,1.0,february,1.0,-,-,civic,5,attended,5.0
392,side,2.0,causes,1.0,-,-,linear,2.0,like,3.0,raising,4.0,overseen,1.0,koreanled,2.0,-,-,-,-,-,-,-,-,-,-,14apr56,1.0,32,2.0,promised,1.0,short,1.0,-,-,inventions,5,son,5.0
393,v,2.0,redistributes,1.0,-,-,d,2.0,hand,3.0,bites,4.0,handed,1.0,conclusions,2.0,-,-,-,-,-,-,-,-,-,-,29413,1.0,summary,2.0,their,1.0,list,1.0,-,-,institution,5,well,5.0
394,ruled,2.0,absorbed,1.0,-,-,break,2.0,2007,3.0,158,4.0,although,1.0,significant,2.0,-,-,-,-,-,-,-,-,-,-,21apr56,1.0,points,2.0,previous,1.0,eligible,1.0,-,-,4,5,between,5.0
395,euless,2.0,incidentally,1.0,-,-,may,2.0,occurred,3.0,toys,4.0,articulate,1.0,offer,2.0,-,-,-,-,-,-,-,-,-,-,9031,1.0,consider,2.0,met,1.0,represent,1.0,-,-,education,5,she,5.0
396,ifá,1.0,nearer,1.0,-,-,always,2.0,located,3.0,then,4.0,characterised,1.0,open,2.0,-,-,-,-,-,-,-,-,-,-,28apr56,1.0,direction,2.0,1882,1.0,belinda,1.0,-,-,community,5,attention,5.0
397,syncretic,1.0,eg,1.0,-,-,since,2.0,brought,3.0,year,4.0,lawlessness,1.0,condemning,2.0,-,-,-,-,-,-,-,-,-,-,24106,1.0,practical,2.0,devised,1.0,snell,1.0,-,-,revolutionary,5,near,5.0
398,developed,1.0,interglacials,1.0,-,-,major,2.0,controls,3.0,days,4.0,sweeping,1.0,identifying,2.0,-,-,-,-,-,-,-,-,-,-,02may56,1.0,references,2.0,plan,1.0,step,1.0,-,-,organized,5,whites,5.0
399,empire,1.0,compared,1.0,-,-,issue,2.0,high,3.0,her,4.0,implement,1.0,attacker,2.0,-,-,-,-,-,-,-,-,-,-,11069,1.0,states,2.0,sell,1.0,after,1.0,-,-,widely,5,longer,5.0
400,descendants,1.0,glacials,1.0,-,-,achieve,2.0,close,3.0,six,4.0,revived,1.0,background,2.0,-,-,-,-,-,-,-,-,-,-,07jan56,1.0,mortality,2.0,without,1.0,penny,1.0,-,-,relations,5,initially,5.0
401,santeria,1.0,remain,1.0,-,-,whose,2.0,300,3.0,months,4.0,howard,1.0,sinkings,2.0,-,-,-,-,-,-,-,-,-,-,accrington,1.0,does,2.0,telling,1.0,taylor,1.0,-,-,having,5,due,5.0
402,word,1.0,largely,1.0,-,-,reads,2.0,gas,3.0,decline,4.0,responsible,1.0,12,2.0,-,-,-,-,-,-,-,-,-,-,stanley,1.0,mean,2.0,negotiated,1.0,injured,1.0,-,-,affairs,5,can,5.0
403,influenced,1.0,fundamentally,1.0,-,-,more,2.0,mobile,3.0,5,3.0,monitoring,1.0,51,2.0,-,-,-,-,-,-,-,-,-,-,48385,1.0,range,2.0,likely,1.0,ruled,1.0,-,-,served,5,last,5.0
404,liturgical,1.0,property,1.0,-,-,segments,2.0,parking,3.0,felines,3.0,promoting,1.0,52,2.0,-,-,-,-,-,-,-,-,-,-,28jan56,1.0,throughout,2.0,behind,1.0,out,1.0,-,-,effect,5,force,5.0
405,language,1.0,size,1.0,-,-,unwinds,2.0,hackerfestzelt,3.0,according,3.0,active,1.0,jig,2.0,-,-,-,-,-,-,-,-,-,-,53393,1.0,confounding,2.0,where,1.0,27,1.0,-,-,water,5,protest,5.0
406,dialect,1.0,rotation,1.0,-,-,buildup,2.0,6000,3.0,hear,3.0,when,1.0,53,2.0,-,-,-,-,-,-,-,-,-,-,06feb56,1.0,variables,2.0,agreed,1.0,held,1.0,-,-,ireland,5,20,5.0
407,hide,1.0,all,1.0,-,-,gyrase,2.0,weißbier,3.0,too,3.0,following,1.0,opinions,2.0,-,-,-,-,-,-,-,-,-,-,109,1.0,supporting,2.0,pay,1.0,local,1.0,-,-,europe,5,supported,5.0
408,22,1.0,little,1.0,-,-,singlestranded,2.0,ammer,3.0,sense,3.0,functions,1.0,54,2.0,-,-,-,-,-,-,-,-,-,-,19500,1.0,turn,2.0,onethird,1.0,paper,1.0,-,-,79,5,joined,5.0
409,24,1.0,hundreds,1.0,-,-,secondary,2.0,bodo,3.0,variety,3.0,superseded,1.0,55,2.0,-,-,-,-,-,-,-,-,-,-,18feb56,1.0,provided,2.0,profits,1.0,expected,1.0,-,-,places,5,walter,5.0
410,references,1.0,millions,1.0,-,-,singlestrand,2.0,cocktails,3.0,types,3.0,agency,1.0,56,2.0,-,-,-,-,-,-,-,-,-,-,0–0,1.0,minimal,2.0,finder,1.0,be,1.0,-,-,things,5,race,5.0
411,external,1.0,tectonic,1.0,-,-,sliding,2.0,mohrenkopf,3.0,language,3.0,contents,1.0,research,2.0,-,-,-,-,-,-,-,-,-,-,70640,1.0,changes,2.0,fee,1.0,starter,1.0,-,-,august,5,relationship,5.0
412,links,1.0,uplift,1.0,-,-,replisome,2.0,glöckle,3.0,8,3.0,hide,1.0,reaction,2.0,-,-,-,-,-,-,-,-,-,-,22feb56,1.0,developmental,2.0,help,1.0,opal,1.0,-,-,mary,5,marriage,5.0
413,merges,1.0,significantly,1.0,-,-,exist,2.0,wirt,3.0,neutering,3.0,71,1.0,61,2.0,-,-,-,-,-,-,-,-,-,-,-,-,inadequate,2.0,keeping,1.0,wear,1.0,-,-,study,5,quoted,5.0
414,mythology,1.0,alter,1.0,-,-,perform,2.0,heimer,3.0,household,3.0,72,1.0,diplomatic,2.0,-,-,-,-,-,-,-,-,-,-,-,-,term,2.0,bay,1.0,dunlop,1.0,-,-,importance,5,henry,5.0
415,along,1.0,elements,1.0,-,-,prevents,2.0,heinz,3.0,worldwide,3.0,91,1.0,suppressing,2.0,-,-,-,-,-,-,-,-,-,-,-,-,metabolism,2.0,proceeded,1.0,volleys,1.0,-,-,colony,5,d,5.0
416,christianity,1.0,plate,1.0,-,-,parent,2.0,schiebl,3.0,outside,3.0,92,1.0,internal,2.0,-,-,-,-,-,-,-,-,-,-,-,-,harsh,2.0,profited,1.0,shoes,1.0,-,-,across,5,given,5.0
417,carried,1.0,tectonics,1.0,-,-,ssb,2.0,coffee,3.0,contributed,3.0,101,1.0,dissent,2.0,-,-,-,-,-,-,-,-,-,-,-,-,nutrients,2.0,handsomely,1.0,are,1.0,-,-,attended,5,action,5.0
418,various,1.0,extremely,1.0,-,-,germ,2.0,guglhupf,3.0,isolated,3.0,102,1.0,62,2.0,-,-,-,-,-,-,-,-,-,-,-,-,what,2.0,1885,1.0,highly,1.0,-,-,worked,5,local,5.0
419,communicating,1.0,hot,1.0,-,-,hayflick,2.0,wildmoser,3.0,10,3.0,103,1.0,63,2.0,-,-,-,-,-,-,-,-,-,-,-,-,exposed,2.0,became,1.0,coveted,1.0,-,-,taught,5,december,5.0
420,drumming,1.0,climates,1.0,-,-,limit,2.0,zum,3.0,thought,3.0,external,1.0,relations,2.0,-,-,-,-,-,-,-,-,-,-,-,-,university,2.0,aware,1.0,several,1.0,-,-,adopted,5,arrested,5.0
421,belief,1.0,mesozoic,1.0,-,-,ssdnas,2.0,stiftl,3.0,primarily,3.0,links,1.0,lies,2.0,-,-,-,-,-,-,-,-,-,-,-,-,thus,2.0,scheme,1.0,teammates,1.0,-,-,speech,5,urged,5.0
422,systems,1.0,third,1.0,-,-,components,2.0,maß,3.0,presence,3.0,sources,1.0,less,2.0,-,-,-,-,-,-,-,-,-,-,-,-,neonatal,2.0,retained,1.0,strength,1.0,-,-,another,5,power,5.0
423,hostile,1.0,desert,1.0,-,-,complexes,2.0,plays,3.0,freeranging,3.0,states,1.0,100,2.0,-,-,-,-,-,-,-,-,-,-,-,-,hypoglycemia,2.0,lawyer,1.0,conditioning,1.0,-,-,shop,5,bayard,5.0
424,environment,1.0,belt,1.0,-,-,stay,2.0,very,3.0,11,3.0,prepared,1.0,160,2.0,-,-,-,-,-,-,-,-,-,-,-,-,humans,2.0,van,1.0,effort,1.0,-,-,group,5,stride,5.0
425,prompted,1.0,existed,1.0,-,-,replisomes,2.0,good,3.0,bc,3.0,national,1.0,northern,2.0,-,-,-,-,-,-,-,-,-,-,-,-,positively,2.0,voorhis,1.0,lead,1.0,-,-,english,5,second,5.0
426,starting,1.0,changed,1.0,-,-,24,2.0,offers,3.0,2007,3.0,supplemented,1.0,limit,2.0,-,-,-,-,-,-,-,-,-,-,-,-,place,2.0,sue,1.0,midmay,1.0,-,-,center,5,lyndon,5.0
427,1515,1.0,contents,1.0,-,-,projectors,2.0,roasted,3.0,asia,3.0,implementation,1.0,disputed,2.0,-,-,-,-,-,-,-,-,-,-,-,-,sugar,2.0,claimed,1.0,-,-,-,-,upon,5,under,5.0
428,merge,1.0,11,1.0,-,-,constantly,2.0,duck,3.0,16,3.0,fundamentally,1.0,border,2.0,-,-,-,-,-,-,-,-,-,-,-,-,diabetic,2.0,ignorance,1.0,-,-,-,-,observations,5,written,5.0
429,tradition,1.0,12,1.0,-,-,model,2.0,authentic,3.0,second,3.0,projects,1.0,interkorean,2.0,-,-,-,-,-,-,-,-,-,-,-,-,taken,2.0,between,1.0,-,-,-,-,german,5,concerned,5.0
430,evolved,1.0,13,1.0,-,-,loaded,2.0,travelling,2.0,us,3.0,funded,1.0,14,2.0,-,-,-,-,-,-,-,-,-,-,-,-,some,2.0,asserted,1.0,-,-,-,-,growth,5,bureau,5.0
431,now,1.0,21,1.0,-,-,remain,2.0,fairgrounds,2.0,owned,3.0,medium,1.0,specific,2.0,-,-,-,-,-,-,-,-,-,-,-,-,epidemiological,2.0,outright,1.0,-,-,-,-,americans,5,used,5.0
432,recognized,1.0,211,1.0,-,-,meister,2.0,theresa,2.0,fish,3.0,contract,1.0,islands,2.0,-,-,-,-,-,-,-,-,-,-,-,-,correlation,2.0,lengthy,1.0,-,-,-,-,contributed,5,equality,5.0
433,standpoint,1.0,references,1.0,-,-,monitoring,2.0,culture,2.0,nomenclature,3.0,then,1.0,area,2.0,-,-,-,-,-,-,-,-,-,-,-,-,world,2.0,trial,1.0,-,-,-,-,opportunity,5,tactics,5.0
434,defined,1.0,external,1.0,-,-,tagged,2.0,having,2.0,etymology,3.0,department,1.0,armistice,2.0,-,-,-,-,-,-,-,-,-,-,-,-,ii,2.0,district,1.0,-,-,-,-,establish,5,great,5.0
435,perseverance,1.0,links,1.0,-,-,detected,2.0,celebrations,2.0,34,3.0,small,1.0,clashes,2.0,-,-,-,-,-,-,-,-,-,-,-,-,undernutrition,2.0,ordered,1.0,-,-,-,-,c,5,success,5.0
436,quickly,1.0,view,1.0,-,-,decreased,2.0,16day,2.0,genetics,3.0,business,1.0,years,2.0,-,-,-,-,-,-,-,-,-,-,-,-,roughly,2.0,return,1.0,-,-,-,-,proposed,5,sometimes,5.0
437,changed,1.0,showing,1.0,-,-,finding,2.0,amusement,2.0,43,3.0,group,1.0,police,2.0,-,-,-,-,-,-,-,-,-,-,-,-,netherlands,2.0,proceeds,1.0,-,-,-,-,support,5,how,5.0
438,tribal,1.0,vertical,1.0,-,-,’,2.0,games,2.0,45,3.0,targeting,1.0,regard,2.0,-,-,-,-,-,-,-,-,-,-,-,-,imposed,2.0,appealed,1.0,-,-,-,-,mission,5,according,5.0
439,families,1.0,velocity,1.0,-,-,subsequent,2.0,variety,2.0,47,3.0,four,1.0,referred,2.0,-,-,-,-,-,-,-,-,-,-,-,-,wellnourished,2.0,supreme,1.0,-,-,-,-,1762,5,rather,5.0
440,politicians,1.0,500,1.0,-,-,hold,2.0,roast,2.0,reproduction,3.0,meat,1.0,late,2.0,-,-,-,-,-,-,-,-,-,-,-,-,official,2.0,1886,1.0,-,-,-,-,eventually,5,must,5.0
441,business,1.0,hpa,1.0,-,-,somatic,2.0,pork,2.0,habitats,3.0,processing,1.0,cumings,2.0,-,-,-,-,-,-,-,-,-,-,-,-,october,2.0,however,1.0,-,-,-,-,north,5,almost,5.0
442,foreign,1.0,ascent,1.0,-,-,certain,2.0,fish,2.0,52,3.0,coal,1.0,professor,2.0,-,-,-,-,-,-,-,-,-,-,-,-,late,2.0,lower,1.0,-,-,-,-,original,5,judge,5.0
443,region,1.0,negative,1.0,-,-,become,2.0,along,2.0,53,3.0,mining,1.0,affairs,2.0,-,-,-,-,-,-,-,-,-,-,-,-,april,2.0,decision,1.0,-,-,-,-,storm,5,injunction,5.0
444,relatives,1.0,concentrated,1.0,-,-,cancer,2.0,potato,2.0,mythology,3.0,trade,1.0,commented,2.0,-,-,-,-,-,-,-,-,-,-,-,-,longer,2.0,upheld,1.0,-,-,-,-,conducted,5,opposed,5.0
445,followers,1.0,close,1.0,-,-,stop,2.0,cheese,2.0,ancestor,3.0,1974,1.0,should,2.0,-,-,-,-,-,-,-,-,-,-,-,-,2000,2.0,total,1.0,-,-,-,-,writings,5,event,5.0
446,longer,1.0,descent,1.0,-,-,various,2.0,sausage,2.0,containing,3.0,tools,1.0,regarded,2.0,-,-,-,-,-,-,-,-,-,-,-,-,june,2.0,amount,1.0,-,-,-,-,find,5,men,5.0
447,free,1.0,positive,1.0,-,-,regulates,2.0,modified,2.0,depending,3.0,reflection,1.0,land,2.0,-,-,-,-,-,-,-,-,-,-,-,-,unique,2.0,paid,1.0,-,-,-,-,your,5,words,5.0
448,fit,1.0,diffuse,1.0,-,-,checkpoints,2.0,response,2.0,members,3.0,focus,1.0,led,2.0,-,-,-,-,-,-,-,-,-,-,-,-,intrauterine,2.0,approximately,1.0,-,-,-,-,therefore,5,george,5.0
449,criminalized,1.0,mainly,1.0,-,-,positions,2.0,falls,2.0,chinese,3.0,placed,1.0,previous,2.0,-,-,-,-,-,-,-,-,-,-,-,-,heart,2.0,5331,1.0,-,-,-,-,rods,5,others,5.0
450,forced,1.0,belts,1.0,-,-,gfptagged,2.0,unity,2.0,classified,3.0,important,1.0,november,2.0,-,-,-,-,-,-,-,-,-,-,-,-,agree,2.0,maintained,1.0,-,-,-,-,hall,5,very,5.0
451,surrounded,1.0,girdling,1.0,-,-,size,2.0,thus,2.0,his,3.0,about,1.0,70,2.0,-,-,-,-,-,-,-,-,-,-,-,-,due,2.0,burdened,1.0,-,-,-,-,honorary,5,revolution,5.0
452,concerns,1.0,planet,1.0,-,-,heun,2.0,runs,2.0,modern,3.0,workers,1.0,campaign,2.0,-,-,-,-,-,-,-,-,-,-,-,-,suffer,2.0,judgment,1.0,-,-,-,-,harvard,5,take,5.0
453,seem,1.0,organised,1.0,-,-,revealed,2.0,transformation,2.0,22,3.0,maintain,1.0,order,2.0,-,-,-,-,-,-,-,-,-,-,-,-,explanation,2.0,recalled,1.0,-,-,-,-,part,5,same,5.0
454,necessitated,1.0,hemispheres,1.0,-,-,spatial,2.0,20th,2.0,terms,3.0,secretaries,1.0,stop,2.0,-,-,-,-,-,-,-,-,-,-,-,-,suggested,2.0,protracted,1.0,-,-,-,-,developed,5,socialism,5.0
455,survival,1.0,vast,1.0,-,-,lamins,2.0,blast,2.0,international,3.0,reynolds,1.0,context,2.0,-,-,-,-,-,-,-,-,-,-,-,-,impact,2.0,subsequent,1.0,-,-,-,-,every,5,read,5.0
456,harsh,1.0,bulk,1.0,-,-,neighboring,2.0,23,2.0,earliest,3.0,builders,1.0,never,2.0,-,-,-,-,-,-,-,-,-,-,-,-,15,2.0,loss,1.0,-,-,-,-,ships,5,antiwar,5.0
457,plantation,1.0,note,1.0,-,-,clustering,2.0,31,2.0,german,3.0,labourers,1.0,combined,2.0,-,-,-,-,-,-,-,-,-,-,-,-,40,2.0,threatened,1.0,-,-,-,-,longer,5,those,5.0
